row  number,age,work sector,salery,savings,Food expenses (month),zip code,other expenses (month),educaion years,economic class
1443,44,C,3517,10211,857,37920,1861,12,2
1444,25,B,6080,21715,1295,29587,2418,19,4
1445,28,D,2924,3250,441,41655,1336,13,2
1446,41,D,2275,6276,433,24957,1144,14,2
1447,33,E,6621,43327,1945,29178,1826,19,5
1448,44,E,6958,40579,1642,20044,1504,19,6
1449,17,A,4423,16660,733,39784,1585,19,3
1450,44,D,2280,4566,471,19324,1639,14,1
1451,43,A,5492,13194,1221,35423,1211,16,5
1452,33,E,8375,66255,2089,22463,1846,17,7
1453,39,C,3895,4790,711,38826,1556,14,3
1454,17,E,7801,2572,1564,17986,2779,18,6
1455,45,E,6354,33068,1068,33314,1140,18,6
1456,33,D,3845,9161,512,25771,1881,13,2
1457,41,E,8132,66622,1666,40374,1546,15,7
1458,41,D,2361,6041,468,35084,2349,14,1
1459,30,C,3292,4860,811,22041,1767,14,2
1460,43,B,7660,16788,1061,21295,1378,17,7
1461,41,B,7571,3889,1197,35091,1958,18,6
1462,56,E,8128,49070,1912,33864,1597,20,7
1463,37,B,6271,7515,1250,35272,2149,21,5
1464,48,A,4456,7977,1089,27342,1903,17,3
1465,48,B,6861,25793,1139,33879,1253,18,6
1466,,,,,,,,,
1467,,,,,,,,,
1468,,,,,,,,,
1469,,,,,,,,,
1470,,,,,,,,,
1471,,,,,,,,,
1472,,,,,,,,,
1473,,,,,,,,,
1474,,,,,,,,,
1475,,,,,,,,,
1476,,,,,,,,,
1477,,,,,,,,,
1478,,,,,,,,,
1479,,,,,,,,,
1480,52,A,5323,21938,979,31420,1640,13,4
1481,30,E,7793,33931,1494,21211,1615,17,7
1482,27,E,7990,7260,2226,20128,1638,19,7
1483,46,D,2615,6722,652,18114,2100,12,1
1484,24,C,3468,3722,824,38652,2006,11,2
1485,37,C,3190,7371,1066,22545,2131,11,2
1486,42,D,2217,3852,474,29189,2297,14,0
1487,54,C,4010,1121,639,24990,1493,13,3
1488,43,B,7506,23229,1202,23726,1892,16,6
1489,23,B,6105,8628,1302,29006,2010,21,5
1490,45,C,3803,6289,816,40540,2293,14,2
1491,42,C,3308,4119,725,31134,1586,16,2
1492,48,C,3386,11189,860,15819,2137,17,2
1493,38,B,6815,33575,1239,36743,1773,18,6
1494,41,D,3275,4374,414,18166,1487,14,2
1495,33,C,4004,941,793,31721,1889,14,3
1496,39,D,1257,3810,554,41433,1169,10,1
1497,35,A,5071,35769,1224,25863,1908,19,4
1498,40,A,4882,33320,1206,26391,1379,16,4
1499,40,E,8506,68594,1521,16091,1818,22,7
1500,24,E,7711,51496,2178,29179,2523,15,6
1501,29,D,3293,5957,526,29384,1413,10,2
1502,49,D,3188,7627,534,40794,1509,14,2
1503,28,B,5645,22420,1139,19239,1181,20,5
1504,31,D,4196,10065,454,29860,2055,13,3
1505,50,E,7349,41415,622,36844,1460,18,6
1506,44,E,7627,65005,1520,19705,1526,20,7
1507,37,E,7588,60983,1462,18754,1615,20,6
1508,39,D,1917,4940,459,30881,1639,14,1
1509,23,C,3626,4808,697,35951,1949,14,2
1510,41,D,2415,3970,531,39074,1221,11,2
1511,30,D,3063,4525,503,19585,1379,14,2
1512,47,E,8124,66514,1916,26701,1990,17,7
1513,31,C,3570,5478,791,23700,1483,14,3
1514,28,D,3025,7045,514,26647,1997,15,2
1515,36,D,3307,4672,628,26785,1829,8,2
1516,26,A,5293,13209,1297,35421,1394,19,4
1517,55,A,5015,27601,1252,25843,1390,18,4
1518,37,A,5051,32407,963,20371,1335,19,4
1519,47,C,3604,9095,745,36536,1884,12,2
1520,33,C,3294,4674,735,24508,1898,16,2
1521,46,B,5778,8330,1211,16339,1887,18,4
1522,29,A,4606,24764,913,17488,1639,15,3
1523,49,C,3657,7511,845,17581,2187,14,2
1524,36,E,7993,57262,2171,32165,1363,16,7
1525,42,A,4830,20255,1099,26542,1454,17,4
1526,46,E,6697,39123,1736,26766,1870,18,5
1527,37,E,8230,64883,1628,36960,2101,20,7
1528,42,B,8664,28563,1129,16161,1831,16,7
1529,42,B,8598,43910,1138,28260,2052,19,7
1530,45,E,7350,37044,1699,20140,1869,17,6
1531,43,C,3978,6291,860,21426,1544,16,3
1532,47,C,3625,3305,864,22936,1354,14,3
1533,39,B,6904,30800,1265,18681,1617,22,6
1534,48,A,4980,29182,940,25001,2010,18,3
1535,32,C,2944,7173,808,18326,2509,14,1
1536,30,C,3309,8589,864,16039,1192,12,3
1537,22,C,3492,3495,798,32349,1718,14,2
1538,16,E,8910,78089,1251,26995,1440,19,8
1539,27,C,3498,5772,747,27828,744,13,3
1540,52,A,5092,23802,1121,28044,1120,17,4
1541,44,A,5387,26977,1114,16188,1318,18,5
1542,47,C,3392,2741,555,29406,1348,17,3
1543,41,B,6802,23826,1363,19111,1803,17,5
1544,45,A,5031,31571,1086,21005,826,17,5
1545,27,B,7879,2351,1255,37021,1953,18,6
1546,42,B,8918,36771,1358,38720,1358,18,8
1547,48,B,6037,5376,1131,34889,1204,19,5
1548,30,D,1660,4000,513,34256,2033,13,0
1549,35,E,6611,43438,2009,35445,1410,21,6
1550,32,A,4786,31375,791,27184,1776,18,4
1551,45,B,6899,9037,1190,41581,1697,17,6
1552,32,E,8486,25356,1408,29979,1774,17,7
1553,68,D,1848,4944,570,23236,2062,12,0
1554,21,B,7799,13977,1117,27488,1768,18,7
1555,54,D,3350,12195,423,33257,1972,12,2
1556,27,C,3299,5052,837,37086,1258,13,3
1557,48,C,3348,6793,774,41872,1648,15,2
1558,27,E,9219,52519,1810,23299,1182,23,9
1559,52,C,3632,14179,886,34250,1813,12,2
1560,41,C,3297,8510,774,36579,1324,15,2
1561,56,B,8885,24718,1285,34957,1710,17,8
1562,36,E,7977,42171,1547,33142,1966,19,7
1563,43,C,3264,10643,653,30601,1712,10,2
1564,34,B,7659,13337,1210,42035,1715,19,6
1565,32,C,2961,6804,727,37169,1236,16,2
1566,38,D,4081,10521,541,36587,1782,13,3
1567,43,C,3351,8688,924,29725,1027,12,3
1568,29,A,4831,13978,673,20919,1977,20,3
1569,31,E,7421,81508,1952,40832,1566,18,6
1570,47,D,2022,4632,507,37990,1524,10,1
1571,43,C,3515,8307,865,31695,1970,14,2
1572,46,A,5377,10880,1000,24226,1544,16,4
1573,37,E,6517,41937,2129,30449,1445,20,6
1574,37,D,1842,4787,514,35014,1718,12,1
1575,48,A,5085,10430,1020,37964,1555,16,4
1576,32,D,2641,2252,556,30949,1625,11,2
1577,24,C,3191,6530,820,33371,1456,14,2
1578,37,E,8161,51322,1299,18499,1635,24,7
1579,42,A,4700,23121,1106,39962,899,14,4
1580,54,A,5112,21489,1049,24007,2193,20,3
1581,54,E,9781,115852,1992,31005,2100,18,8
1582,51,B,7657,27792,1252,33488,1454,18,7
1583,45,A,5180,22167,1032,36428,2067,18,4
1584,40,C,3017,5941,689,28166,1180,15,2
1585,42,D,2482,2266,522,36647,2108,12,1
1586,47,B,8328,45116,1095,21609,1380,16,7
1587,49,E,7767,33931,1988,41174,2116,17,6
1588,32,E,8326,19232,2130,36590,1843,23,7
1589,41,B,4362,12728,1364,18440,2174,17,3
1590,32,C,3130,9731,833,31600,2061,15,2
1591,38,E,8068,82765,2206,35372,1438,20,7
1592,15,E,7206,75388,1710,32647,1634,21,6
1593,29,E,8527,70954,1669,28679,1644,16,7
1594,35,E,7384,47932,1850,29092,1752,16,6
1595,18,E,8392,42837,1020,19520,1943,18,7
1596,51,C,3249,8523,871,18839,1646,14,2
1597,52,D,2687,6809,572,27545,1877,11,1
1598,26,D,1576,1905,453,37707,1551,16,1
1599,24,B,6597,12793,1177,31870,1595,17,6
1600,46,B,6561,31098,1069,19204,1677,17,5
1601,37,C,3638,1232,656,17073,2291,12,2
1602,57,A,4779,39860,1121,26975,1592,17,4
1603,30,D,3601,9096,414,34242,1167,11,3
1604,50,D,1752,4637,522,30575,1409,9,1
1605,41,A,4560,32525,1028,34046,1824,15,3
1606,42,C,3079,9150,988,21239,1657,14,2
1607,36,A,4446,11511,895,24957,1346,18,4
1608,39,C,3495,9785,841,36621,1474,15,3
1609,46,A,4718,34885,1187,23553,1749,15,3
1610,41,D,3173,9884,520,19422,1975,11,2
1611,57,B,7660,23183,1166,32288,2010,20,6
1612,46,D,2940,7382,547,31628,1515,11,2
1613,37,C,4302,3915,1007,21737,1489,12,3
1614,36,A,5321,8272,1377,38291,1691,17,4
1615,48,E,7530,70934,1819,23364,1146,18,7
1616,36,B,8289,29053,1241,15718,1728,20,7
1617,31,C,2923,13927,699,40657,2163,14,1
1618,39,E,7617,52533,1892,38538,1351,17,7
1619,33,A,5070,20980,919,30568,1298,17,4
1620,53,B,7370,40800,1262,17637,1858,18,6
1621,49,D,2511,4258,485,36564,1272,16,2
1622,46,E,9153,13620,1531,25385,1744,14,8
1623,33,E,8618,19983,1769,29698,1928,15,7
1624,17,D,2620,6030,495,24747,2084,12,1
1625,49,E,8968,26399,1666,21096,2257,15,7
1626,57,B,8105,37378,1183,21586,1400,19,7
1627,49,D,3071,6743,496,24943,1107,12,2
1628,45,C,3643,12222,648,39136,1841,13,2
1629,18,B,6223,22631,1299,16836,1849,15,5
1630,49,B,8298,33317,1202,32536,1595,16,7
1631,39,A,4325,20355,1024,27820,1713,20,3
1632,50,C,3672,1949,902,37878,1679,14,2
1633,49,E,8662,36577,1672,30184,2308,18,7
1634,43,C,3672,6115,960,36149,1871,15,2
1635,64,B,9290,30410,1224,26567,1356,20,8
1636,34,A,6098,27677,1067,42085,2307,17,4
1637,42,A,4477,34243,1070,29993,2173,16,3
1638,32,D,2104,3785,540,19962,2042,12,1
1639,42,E,7364,39464,1443,15911,1756,15,6
1640,25,C,3509,2599,786,36567,1845,15,2
1641,57,A,4895,28670,1251,24060,1766,20,4
1642,32,E,7610,23768,1589,35940,1260,19,7
1643,26,C,3553,2221,770,33187,1216,19,3
1644,45,A,5204,24972,882,16167,2155,17,4
1645,31,C,4103,4320,855,40269,1555,18,3
1646,37,C,3217,11062,997,18741,2679,14,1
1647,59,B,5842,10949,1089,28946,1712,17,5
1648,35,E,7355,62314,1136,24494,2039,19,6
1649,33,E,8032,28512,1371,18230,1893,18,7
1650,38,E,7140,46648,1896,40655,1611,18,6
1651,47,D,1804,4114,444,22760,931,10,1
1652,36,B,5444,7482,1240,40602,2052,17,4
1653,33,D,2056,4400,462,40807,1981,11,1
1654,46,E,7844,81508,1802,18704,2003,20,6
1655,60,B,7300,17964,1229,32165,1613,18,6
1656,46,D,2758,5001,482,28667,2023,15,1
1657,44,A,4842,35300,940,33090,1571,15,4
1658,38,C,3686,727,896,35917,1463,12,3
1659,38,D,902,2144,506,42080,1736,11,0
1660,41,C,3705,1412,817,18791,1059,14,3
1661,41,A,5577,29271,1070,34734,1506,19,5
1662,31,E,7559,14175,2059,34453,1948,17,6
1663,34,C,3543,6899,750,20207,1517,13,3
1664,43,B,7801,21515,1230,41705,1491,18,7
1665,26,E,7027,11515,2150,22951,1259,21,6
1666,57,B,8408,29078,1196,42073,1532,18,7
1667,47,B,10603,22265,1183,41014,2345,15,9
1668,33,A,4454,20993,756,28151,1349,18,4
1669,57,C,3642,8827,945,31076,1507,17,3
1670,39,B,6804,19100,1137,24077,1828,14,5
1671,20,C,3588,8643,815,39782,2001,16,2
1672,46,D,1978,4048,524,16178,1549,12,1
1673,39,D,2768,6044,538,27806,1585,11,2
1674,50,A,5425,14828,732,31806,1011,17,5
1675,38,B,6960,17825,1491,21351,1613,19,6
1676,47,E,8608,19064,1971,25288,2400,22,7
1677,42,D,2211,3371,540,39265,1088,12,2
1678,60,D,1784,4281,531,17982,1801,14,0
1679,39,A,4890,31605,1012,19985,2019,17,3
1680,41,A,5076,30858,912,28320,1944,19,4
1681,27,E,7872,67958,2010,41596,1638,18,7
1682,27,A,5309,21461,957,30177,2014,15,4
1683,46,B,6145,20822,1297,31960,1292,18,5
1684,35,B,6878,29767,1160,19920,1296,17,6
1685,28,A,6429,28036,1005,39113,2109,14,5
1686,11,C,3563,6258,888,34397,1930,17,2
1687,39,D,3197,3708,506,36315,1686,12,2
1688,39,A,5512,11057,1194,28563,1746,19,4
1689,42,E,8338,67961,2076,37455,1344,17,7
1690,37,B,9004,19413,936,27501,1525,20,8
1691,49,D,2289,3600,534,27480,2296,14,0
1692,32,C,3669,9084,754,21752,1466,14,3
1693,36,B,6165,1009,1193,33564,1035,18,6
1694,41,C,2944,4202,1084,31133,1999,16,1
1695,26,B,7883,10827,1220,30775,1740,17,7
1696,54,C,3627,12853,871,40889,1273,12,3
1697,24,A,5109,21309,1136,27869,1497,18,4
1698,45,D,2847,3959,600,37727,1556,15,2
1699,26,B,5476,13757,1137,26393,1981,20,4
1700,39,B,9090,30405,1247,41788,1634,15,8
1701,44,D,1724,4520,539,27959,1628,15,1
1702,51,C,2704,5150,857,39175,1261,14,2
1703,48,D,2518,5585,496,40057,1696,12,1
1704,48,C,3990,1785,800,35261,1586,15,3
1705,35,A,5410,40933,1072,28821,1518,19,4
1706,41,A,5536,18825,903,39216,1452,19,5
1707,41,B,6592,19458,1255,25716,2168,17,5
1708,38,C,3111,10920,670,37165,1190,14,2
1709,43,E,7746,47902,1869,24732,1336,17,7
1710,47,B,7769,25276,1232,33402,1331,14,7
1711,33,B,4751,13558,1111,19673,2098,17,3
1712,45,C,4290,7324,787,18116,1807,19,3
1713,37,E,7635,36867,1698,34884,1962,17,6
1714,41,D,1491,2661,416,23405,2073,16,0
1715,33,A,5189,19473,952,37843,1961,15,4
1716,45,B,7437,26784,1118,17682,1916,17,6
1717,50,E,7109,31087,1808,24213,1861,19,6
1718,53,B,5770,29407,1358,40790,1885,16,4
1719,42,D,2548,4187,518,34611,1679,11,1
1720,31,B,7681,23619,1257,40334,1748,17,6
1721,46,A,4608,24903,726,42081,1625,16,3
1722,36,B,6557,20449,1155,26582,1350,19,6
1723,42,A,4714,20513,1229,16236,1711,18,4
1724,46,A,4581,19743,1056,23905,1615,16,3
1725,58,B,7320,37212,1060,28831,1363,19,6
1726,33,A,3214,295,1055,32097,1794,18,2
1727,41,C,3317,6364,708,29627,2156,17,2
1728,31,B,6962,30589,1174,21617,1595,19,6
1729,47,B,6667,18344,1204,36131,1937,16,5
1730,30,E,7135,76376,1841,28355,1627,18,6
1731,48,D,3229,7722,548,34964,2066,9,2
1732,31,A,5451,31528,1187,21803,1363,17,5
1733,33,B,7001,25417,1115,24323,1368,20,6
1734,37,B,4997,14000,1261,17754,2516,21,3
1735,54,C,4077,1788,709,40712,1359,12,3
1736,33,D,2856,5885,505,39839,2455,12,1
1737,38,A,4671,27273,845,39897,1730,17,3
1738,44,E,7319,30176,1703,21447,1759,19,6
1739,39,B,7043,20105,1290,39814,1912,15,6
1740,35,D,2292,3936,463,35281,1117,11,2
1741,51,A,3807,14813,788,25425,1513,18,3
1742,40,B,6132,22548,1182,30027,1153,22,5
1743,37,B,6429,11049,1150,41185,1590,16,5
1744,31,C,3208,4375,731,18515,2010,13,2
1745,53,E,7990,33246,1268,36524,1722,18,7
1746,32,A,4767,25660,1006,40318,2066,17,3
1747,41,C,3403,11628,754,25945,1431,12,2
1748,51,D,1570,2397,455,18485,1731,10,0
1749,27,A,4944,15958,355,22864,1632,16,4
1750,55,E,8499,34237,1808,24550,1767,17,7
1751,39,C,3165,5487,707,29277,2396,16,1
1752,38,B,6255,2815,1302,40700,1428,17,5
1753,47,D,2497,2998,512,38405,1778,13,1
1754,45,D,2411,5710,518,28605,1389,15,2
1755,47,A,5540,1464,1176,37920,1677,17,4
1756,33,D,2059,4763,535,21774,1690,12,1
1757,50,D,1591,3630,472,29798,1984,14,0
1758,67,C,3527,4107,803,20064,1761,15,2
1759,39,E,7974,41236,1631,16285,972,16,8
1760,40,B,6048,25911,1122,26149,1567,16,5
1761,50,B,7769,29572,1203,25702,1822,20,6
1762,46,E,8043,49817,1786,28035,1728,18,7
1763,48,A,4242,19952,752,31150,1554,16,3
1764,57,D,2214,6258,527,22552,2485,14,0
1765,39,C,4018,10391,801,21852,1710,17,3
1766,34,C,3146,5480,959,31247,1881,13,2
1767,50,B,7434,20690,1305,41325,1933,17,6
1768,42,B,6346,23769,1117,38861,1648,17,5
1769,53,B,5987,14650,1218,39416,1989,16,4
1770,38,B,8093,13950,1169,20110,1631,21,7
1771,24,A,5029,21248,565,29334,1318,17,4
1772,60,B,8624,28494,1383,18488,2004,19,7
1773,55,C,3646,10095,694,42077,1694,13,2
1774,36,A,4748,8515,1043,41565,1712,13,4
1775,33,A,4669,26989,827,31251,1520,13,4
1776,47,E,9563,70200,1107,23093,1987,21,8
1777,16,E,7843,50579,1745,41454,1962,18,6
1778,26,A,5791,27277,751,39950,1550,17,5
1779,46,D,2238,6158,500,20160,1221,13,2
1780,57,B,7818,44558,1165,24296,1695,20,7
1781,46,B,5807,7773,1338,33629,1685,17,5
1782,37,A,5330,11444,631,17027,1274,15,5
1783,20,B,6583,14688,1103,23823,2094,18,5
1784,38,A,4788,25724,1008,36738,1762,16,4
1785,49,C,3351,2649,669,19477,1889,16,2
1786,37,A,5298,41122,863,17683,1356,17,4
1787,53,A,5000,36804,1013,23989,2114,18,3
1788,47,B,7816,29187,1312,21285,1692,18,7
1789,47,C,3453,6202,897,35511,1971,13,2
1790,47,A,4385,31004,1067,25617,1347,16,4
1791,28,C,4040,6093,611,20390,1771,14,3
1792,46,A,4098,17343,687,24018,1915,16,3
1793,30,E,7597,31689,1246,32802,1866,20,6
1794,31,C,3857,1090,696,34760,2029,13,2
1795,63,D,2531,3027,468,19241,1174,14,2
1796,50,B,7266,40584,1307,28677,1624,19,6
1797,39,E,7799,17756,1885,18301,1058,18,7
1798,56,E,7305,14736,1925,18052,1494,17,6
1799,32,C,2598,2845,801,32044,2056,14,1
1800,36,B,7837,31620,1165,36302,1462,16,7
1801,41,C,3459,6372,709,31101,1432,16,3
1802,42,B,6971,26843,1185,22247,1916,20,6
1803,38,E,8594,49691,1636,24968,2301,18,7
1804,54,E,9626,79426,1609,30109,1576,18,9
1805,38,B,6549,18453,1257,21279,1741,18,5
1806,41,B,7034,23161,1220,26253,1920,20,6
1807,31,E,9202,12179,1868,23923,1635,21,8
1808,36,E,9170,66112,1509,33273,1707,19,8
1809,54,E,8278,37663,1134,37638,1354,19,7
1810,42,E,9338,53363,1284,16221,1834,20,8
1811,45,C,3194,2996,690,21018,1519,12,2
1812,48,E,7310,40768,1729,36437,1392,17,6
1813,34,C,3721,2289,807,39339,1264,16,3
1814,46,E,8662,72757,1880,22723,1630,14,8
1815,44,D,3139,7240,516,37004,1803,11,2
1816,19,B,5135,14604,1199,26032,1640,13,4
1817,35,E,8784,10833,1584,39357,1791,19,7
1818,33,A,4726,27947,847,41366,1780,17,3
1819,16,A,5439,20168,1017,22567,1377,17,5
1820,47,E,7536,56650,1491,37608,949,17,7
1821,32,A,4670,14327,1054,37184,1749,18,3
1822,30,A,4453,16320,905,30398,1198,16,4
1823,46,B,6722,21998,1141,36922,1771,22,5
1824,38,D,2124,5293,454,38856,1165,16,1
1825,47,E,7278,35862,1829,18407,1969,20,6
1826,42,A,4856,5744,863,40195,2053,20,3
1827,32,B,6520,9770,1133,28305,1855,13,5
1828,30,D,3626,6717,552,28608,2341,9,2
1829,29,C,3077,9934,753,38053,2011,16,2
1830,43,E,8347,48791,2042,31318,1908,18,7
1831,22,E,8531,56062,1675,17536,1842,17,7
1832,52,E,8257,53402,1535,24536,1699,19,7
1833,41,D,2550,4950,522,28956,1967,11,1
1834,54,E,7230,28383,1510,17751,1749,16,6
1835,43,C,3101,8379,894,20704,1560,12,2
1836,51,D,1604,3574,555,26525,1546,13,1
1837,22,C,3988,608,900,42018,1987,13,3
1838,42,B,7142,2872,1309,28055,1866,16,6
1839,30,D,1811,2473,497,24304,1884,12,0
1840,52,A,5421,23512,974,25336,2029,17,4
1841,35,E,6780,57158,1975,40889,945,17,6
1842,37,A,5832,36449,872,30562,1973,16,4
1843,39,B,7993,19882,1105,39022,1437,16,7
1844,42,E,7149,50735,1718,18827,1706,17,6
1845,58,C,3227,6113,848,27064,1881,15,2
1846,63,B,6403,14858,1373,25689,2246,16,5
1847,29,D,2722,3380,426,27429,1577,14,2
1848,50,C,3396,3562,835,35923,1772,17,2
1849,24,A,5090,24157,762,34057,1692,16,4
1850,43,A,4993,23978,872,16501,1789,18,4
1851,53,D,2383,6353,541,17879,1273,13,2
1852,32,D,2959,7457,531,36314,1637,14,2
1853,26,A,5546,40671,836,23932,1504,16,5
1854,42,D,1644,3336,564,30887,1724,15,0
1855,43,D,2512,7069,488,27307,1228,15,2
1856,21,B,8292,36287,1057,17946,1951,15,7
1857,41,C,4213,4677,835,30683,1531,14,3
1858,24,A,6010,29972,1130,17736,2234,18,4
1859,31,C,2946,6699,823,30329,2034,18,1
1860,33,D,2715,3410,517,20925,1461,12,2
1861,47,A,5478,20161,1112,17864,1488,16,4
1862,29,E,7803,51044,1298,31965,1477,13,7
1863,57,D,2014,4035,467,27024,2038,12,0
1864,41,C,3447,8970,870,39262,1729,15,2
1865,40,E,7879,34890,1702,23340,1811,18,7
1866,57,B,6008,20655,1212,16338,2143,14,4
1867,35,E,9302,83626,1832,26881,1650,17,8
1868,57,D,2040,4583,547,35755,1834,13,1
1869,46,D,3015,9113,529,22556,2185,12,1
1870,22,B,7609,27213,1246,19966,1915,19,6
1871,49,C,3521,10344,865,18359,1304,15,3
1872,47,B,5414,13995,1249,21950,1724,19,4
1873,33,A,4636,17487,1062,34575,1108,15,4
1874,45,A,5629,25196,1048,21056,1877,16,4
1875,49,A,5152,29922,846,22286,1730,18,4
1876,43,B,6437,32243,1272,35692,1964,17,5
1877,43,B,7306,23221,1094,39207,1901,13,6
1878,33,B,7604,31016,1213,27765,1630,17,6
1879,56,A,4863,33190,905,42053,1754,15,4
1880,63,C,3537,17034,871,35526,1300,11,3
1881,40,C,3591,7115,628,40698,1754,12,2
1882,29,D,2613,5903,460,17955,1219,9,2
1883,54,B,6904,38972,1114,35741,1592,17,6
1884,58,B,8543,20226,1168,24345,1874,16,7
1885,31,A,5074,25992,1016,37582,1274,17,4
1886,37,D,1420,2807,499,36221,1838,14,0
1887,29,A,5510,37784,1092,26196,1557,18,4
1888,53,C,3248,7909,887,34589,2114,18,2
1889,27,C,3486,9223,916,34327,1540,16,2
1890,34,D,2182,4604,505,40575,1855,16,1
1891,47,E,6698,21211,2606,18934,1754,19,5
1892,34,D,2609,3683,521,38358,1940,14,1
1893,43,D,1948,1521,388,33941,1799,9,1
1894,30,D,2580,4245,458,19648,1960,14,1
1895,36,E,7602,47979,1975,18917,2172,19,6
1896,52,E,8330,75047,1665,27801,1662,16,7
1897,36,D,3153,7011,451,41395,1677,13,2
1898,39,D,3833,8121,535,23224,1830,12,3
1899,42,B,7564,22369,1330,38852,1502,18,7
1900,58,C,4263,7174,856,41863,1575,12,3
1901,49,D,1378,2830,472,41591,1555,13,0
1902,60,D,2668,4315,442,37329,1751,14,1
1903,42,B,6964,20157,1194,38171,1925,18,6
1904,39,E,8013,42725,2586,17090,1654,17,7
1905,43,C,3376,6372,831,26094,1570,13,2
1906,30,E,9101,55159,1127,31405,1186,21,8
1907,50,B,8521,33631,1113,23686,2092,14,7
1908,55,D,1606,2444,520,32941,1473,14,1
1909,26,E,7294,45354,1463,31966,1683,16,6
1910,59,A,5278,27347,970,27165,1916,16,4
1911,46,A,5749,24224,1216,19827,1826,18,4
1912,24,D,2013,4089,505,18948,1698,10,1
1913,52,D,2363,4046,545,23269,2217,10,1
1914,40,C,2559,4027,805,31297,1915,13,1
1915,14,C,3486,3482,876,23538,1281,13,3
1916,33,B,4526,15434,1350,23841,2223,19,3
1917,39,C,3700,8108,781,31181,1367,15,3
1918,22,C,3318,3766,793,37033,1966,12,2
1919,51,C,3355,9177,961,40336,1837,17,2
1920,41,A,5520,21127,834,29997,1792,14,4
1921,29,A,6509,48133,707,32382,2038,20,5
1922,49,A,5846,28599,1339,35932,1184,15,5
1923,40,C,3787,9924,867,36898,1820,15,2
1924,60,C,4058,6388,737,31644,1927,19,3
1925,48,E,9532,64977,1072,18370,1839,18,8
1926,32,B,9601,38312,1151,37758,1848,15,8
1927,51,E,8677,36703,1331,38911,1739,20,7
1928,39,A,4941,18715,975,40438,1866,17,4
1929,34,D,4026,7724,477,37608,2463,12,2
1930,52,E,9114,50752,1872,16935,1973,22,8
1931,30,C,3551,892,746,29659,1645,14,2
1932,34,C,3892,17258,1027,26317,1715,16,3
1933,42,E,8343,26802,1951,34938,1428,19,7
1934,36,A,4862,21287,1009,34860,1244,16,4
1935,42,D,2578,7680,576,16840,1660,12,1
1936,42,C,3741,10169,792,30107,996,15,3
1937,29,E,8879,1144,1907,38691,1428,22,8
1938,40,A,5346,42540,671,23772,1577,15,4
1939,36,E,8184,64863,2300,34495,1575,16,7
1940,39,E,8555,17261,1885,35435,1354,19,8
1941,42,B,4698,20052,1106,22047,1579,18,4
1942,36,B,6717,19919,1181,24033,1723,18,5
1943,44,E,8462,70716,1722,41243,1694,20,7
1944,30,B,8706,39835,1268,23169,1380,20,8
1945,45,B,7263,24314,1307,28078,1502,17,6
1946,67,C,3585,6159,783,33152,1640,16,2
1947,42,A,4483,18766,761,32643,1477,14,4
1948,46,D,1258,3215,501,31154,1784,15,0
1949,54,C,3091,2578,677,23796,1788,13,2
1950,38,D,3468,6580,428,40419,2057,12,2
1951,60,A,4701,22781,1064,33504,1713,16,3
1952,52,A,5750,33391,1012,16375,1562,16,5
1953,27,D,1382,3170,482,23383,1930,11,0
1954,37,C,3327,7557,745,33860,1887,13,2
1955,45,C,3300,8643,757,21067,1484,18,2
1956,33,E,7228,29237,1856,35718,1681,19,6
1957,49,E,9130,61599,1567,28833,1863,19,8
1958,45,E,6840,34074,1433,22892,1298,18,6
1959,54,D,2694,5370,525,27643,2393,11,1
1960,36,B,6631,27560,1205,27597,2066,20,5
1961,43,E,8454,40295,1520,32976,1784,20,7
1962,47,D,1393,2487,475,32570,1365,11,1
1963,48,E,8380,846,1844,34042,1595,22,7
1964,26,B,7999,33329,1320,25380,1322,18,7
1965,32,C,3253,8573,860,32696,1925,13,2
1966,45,B,8282,29886,1133,15850,1623,13,7
1967,39,B,7472,31966,1159,41183,1371,22,7
1968,39,C,3205,7259,784,21074,2261,16,1
1969,45,C,3968,8762,629,24895,1362,12,3
1970,41,E,8019,30195,2290,19981,2045,21,6
1971,46,E,8597,58705,1592,34021,2174,20,7
1972,51,B,8171,36600,1222,18016,1603,15,7
1973,38,E,8114,25887,1799,38036,1829,17,7
1974,58,E,8871,22373,1573,34343,1799,18,8
1975,72,A,4717,23969,900,32148,1945,18,3
1976,45,B,6727,21266,1175,32534,2031,17,5
1977,39,D,2032,2363,549,28055,1152,15,1
1978,54,E,7129,26724,1288,35210,1261,19,6
1979,44,C,3953,13294,961,17306,1737,20,3
1980,54,B,7568,22566,1331,35369,2092,14,6
1981,41,D,1270,1924,533,34062,1711,11,0
1982,52,D,2048,3738,554,18912,1759,12,1
1983,30,E,9381,105886,2239,29770,2355,17,8
1984,33,D,3007,6093,548,18828,1245,10,2
1985,33,B,6434,24279,1263,26472,1513,17,5
1986,31,B,7022,25487,1229,17248,1444,22,6
1987,5,B,3743,9148,1249,20753,1649,21,3
1988,62,B,7821,28802,1222,38661,1875,16,6
1989,37,D,2569,2153,408,40145,2403,13,1
1990,33,E,8239,77402,1489,23157,1911,19,7
1991,31,E,7907,33299,2109,35120,1710,19,7
1992,47,C,2961,2028,792,32031,1264,14,2
1993,32,E,7968,46964,1330,21319,1616,21,7
1994,38,D,2149,6172,513,22524,2031,13,1
1995,34,C,3968,9360,753,27421,1980,13,2
1996,39,C,3139,6688,841,23061,1528,18,2
